REDE;MAC_ADDRESS;POWER;LATITUDE;LONGITUDE
Wi-Fi UFPE;90:3a:72:14:d7:28;-86;-8.05106;-34.94775
Wi-Fi UFPE;90:3a:72:14:d7:28;-86;-8.05109;-34.94775
Wi-Fi UFPE;90:3a:72:14:d7:28;-86;-8.05114;-34.94777
Wi-Fi UFPE;90:3a:72:14:d7:28;-83;-8.0516;-34.94783
Wi-Fi UFPE;90:3a:72:25:16:e8;-77;-8.05173;-34.94873
Wi-Fi UFPE;90:3a:72:25:16:e8;-65;-8.05169;-34.94902
Wi-Fi UFPE;90:3a:72:25:17:58;-100;-8.05167;-34.9492
Wi-Fi UFPE;90:3a:72:25:06:18;-77;-8.05166;-34.94925
Wi-Fi UFPE;90:3a:72:25:06:18;-82;-8.05161;-34.9494
Wi-Fi UFPE;90:3a:72:25:07:68;-79;-8.05158;-34.94944
Wi-Fi UFPE;90:3a:72:25:17:58;-82;-8.05158;-34.94947
Wi-Fi UFPE;90:3a:72:25:17:58;-74;-8.05159;-34.94948
Wi-Fi UFPE;90:3a:72:25:17:58;-74;-8.05158;-34.94952
Wi-Fi UFPE;90:3a:72:25:17:58;-74;-8.05157;-34.94955
Wi-Fi UFPE;90:3a:72:25:17:58;-90;-8.05158;-34.94993
Wi-Fi UFPE;90:3a:72:25:17:58;-90;-8.05156;-34.94997
Wi-Fi UFPE;34:fa:9f:29:cd:d8;-77;-8.05153;-34.95028
Wi-Fi UFPE;90:3a:72:a4:84:b8;-78;-8.05133;-34.95057
Wi-Fi UFPE;90:3a:72:a4:84:b8;-78;-8.05048;-34.95056
Wi-Fi UFPE;90:3a:72:54:8a:88;-89;-8.05036;-34.95053
Wi-Fi UFPE;90:3a:72:a4:84:48;-87;-8.05001;-34.95048
Wi-Fi UFPE;90:3a:72:a4:84:48;-89;-8.04987;-34.95048
Wi-Fi UFPE;90:3a:72:a4:84:48;-65;-8.04979;-34.95049
Wi-Fi UFPE;90:3a:72:a4:84:48;-88;-8.04966;-34.95046
Wi-Fi UFPE;90:3a:72:95:05:58;-80;-8.04946;-34.95045
Wi-Fi UFPE;90:3a:72:95:05:58;-77;-8.04937;-34.95045
Wi-Fi UFPE;90:3a:72:95:04:d8;-65;-8.04924;-34.95043
Wi-Fi UFPE;90:3a:72:95:05:98;-69;-8.04917;-34.95041
Wi-Fi UFPE;90:3a:72:95:04:d8;-100;-8.04915;-34.95041
Wi-Fi UFPE;90:3a:72:55:05:d8;-63;-8.04909;-34.95041
Wi-Fi UFPE;90:3a:72:55:05:d8;-61;-8.04903;-34.9504
Wi-Fi UFPE;90:3a:72:55:05:d8;-68;-8.04897;-34.9504
Wi-Fi UFPE;90:3a:72:55:05:d8;-77;-8.0489;-34.9504
Wi-Fi UFPE;90:3a:72:55:05:d8;-82;-8.04884;-34.95041
Wi-Fi UFPE;90:3a:72:55:05:d8;-77;-8.04879;-34.95044
Wi-Fi UFPE;90:3a:72:55:05:d8;-85;-8.04874;-34.95049
Wi-Fi UFPE;90:3a:72:a4:fb:e8;-72;-8.04864;-34.9506
Wi-Fi UFPE;90:3a:72:a4:fb:e8;-79;-8.04862;-34.95066
Wi-Fi UFPE;90:3a:72:a4:fb:e8;-84;-8.04858;-34.95071
Wi-Fi UFPE;90:3a:72:94:db:78;-77;-8.04854;-34.95074
Wi-Fi UFPE;90:3a:72:94:db:78;-86;-8.04843;-34.9507
Wi-Fi UFPE;90:3a:72:a4:fb:e8;-85;-8.04833;-34.95068
Wi-Fi UFPE;90:3a:72:a4:fb:e8;-85;-8.04827;-34.95067
Wi-Fi UFPE;90:3a:72:a4:fb:e8;-85;-8.04815;-34.95066
Wi-Fi UFPE;90:3a:72:a4:fb:e8;-85;-8.04809;-34.95064
Wi-Fi UFPE;90:3a:72:a4:fb:e8;-85;-8.04798;-34.95063
Wi-Fi UFPE;20:b3:99:17:ca:7a;-77;-8.04761;-34.9506
Wi-Fi UFPE;20:b3:99:17:ca:7a;-77;-8.04744;-34.95058
Wi-Fi UFPE;20:b3:99:17:ca:7a;-77;-8.04733;-34.95056
Wi-Fi UFPE;20:b3:99:16:bc:0a;-73;-8.04715;-34.95054
Wi-Fi UFPE;20:b3:99:16:b5:fa;-92;-8.04685;-34.9505
Wi-Fi UFPE;20:b3:99:16:b9:ea;-80;-8.04675;-34.95049
Wi-Fi UFPE;20:b3:99:16:bc:0a;-82;-8.04694;-34.95059
Wi-Fi UFPE;20:b3:99:16:b9:ea;-80;-8.04698;-34.9506
Wi-Fi UFPE;20:b3:99:16:bc:0a;-82;-8.0473;-34.95062
Wi-Fi UFPE;90:3a:72:54:ff:f8;-89;-8.04789;-34.95068
Wi-Fi UFPE;90:3a:72:54:ff:f8;-83;-8.04807;-34.95069
Wi-Fi UFPE;90:3a:72:54:ff:f8;-83;-8.04817;-34.9507
Wi-Fi UFPE;90:3a:72:54:ff:f8;-82;-8.0484;-34.95072
Wi-Fi UFPE;90:3a:72:54:ff:f8;-79;-8.04846;-34.95107
